id_equipe,nome_equipe,ranking_atual,num_equipe
1,ROMA,1,77
2,ARSENAL,2,78
3,BAYER,3,79
4,FLUMINENSE,4,80
5,INTERNACIONAL,5,81
6,REAL MADRID,6,82
7,MONACO,7,83
8,HERTA BERLIM,8,84
9,SPORTE RECIFE,9,85
10,CERRO PORTENHO,10,86
11,BOCA JUNIORS,11,87
12,CORINTIAS,12,88
13,INDEPENDIENTE,13,89
14,BOTAFOGO,14,90
15,JUVENTUS,15,91
16,AJAX,16,92
17,PUMAS,17,93
18,TORINO,18,94
19,BARCELONA,19,95
20,BORUSSIA,20,96
21,CHELSEA,21,97
22,BANGU,22,98
23,TOTENHAM,23,99
24,TORONTO,24,100
25,GALASTAZARAY,25,101
26,SANTO ANDRE,26,102
27,FLAMENGO,27,103
28,CRISSIUMA,28,104
29,MILAN,29,105
30,CRUZEIRO,30,106
31,TUNA LUSO,31,107
32,SANTOS,32,108
33,BRASIL,33,109
34,CAXIAS,34,110
35,CEARA,35,111
36,NAUTICO,36,112
37,PENHAROL,37,113
38,GOIAS,38,114
39,RIVER,39,115
40,STUTGARD,40,116
41,NACIONAL,41,117
42,AVAI,42,118
43,AMERICA,43,119
44,DÍNAMO,44,120
45,LIVERPOOL,45,121
46,PARANA,46,122
47,TEXAS,47,123
48,BENFICA,48,124
49,ESTUDIANTES,49,125
50,PALMEIRAS,50,126
51,PAYSANDU,51,127
52,OLIMPIA,52,128
53,KAWASAKI,53,129
54,INTERNAZIONALE,54,130
55,PONTE PRETA,55,131
56,ULBRA,56,132
57,VELES,57,133
58,MANCHESTER,58,134
59,JUVENTUDE,59,135
60,BRASILIA,60,136
61,GREMIO,61,137
62,VITORIA,62,138
63,GUARANI,63,139
64,PORTUGUESA,64,140
65,U. S. JOAO,65,141
66,FORTALEZA,66,142
67,CURITIBA,67,143
68,BRAGANTINO,68,144
69,SÃO PAULO,69,145
70,SANTA CRUZ,70,146
71,BAHIA,71,147
72,BETIS,72,148
73,UNIVERSIDADE,73,149
74,VASCO,74,150
75,ATLETICO MINEIRO,75,151
80,00000,0,157
