id_jogador,nome_jogador
1,FIJOL
2,RINOS
3,NANDER
4,AMÉRICA
5,JUAN CARLOS
6,DEMILSON
7,VICA
8,STEIN
9,NEM
10,RAÍ
11,GASPAR
12,ADIB
13,MARINHO
14,CLAUDIO ADÃO
15,COLA BRANCA
16,ZANATA
17,VAN BROCKEN
18,FALCÃO
19,TARDELI
20,BOKINI
21,SHUSTER
22,ALMÉRICO
23,MARGARIDA
24,WURTH
25,MAURO
26,CAVALCANTI
27,VAVÁ
28,ASSIS
29,TONI
30,PERÉIO
31,GAMARRA
32,CLODOALDO
33,MALDINI
34,HOUSEMANN
35,ARTURZINHO
36,TOPEKA
37,QUINHONES
38,BATAGLIA
39,KLEBER
40,VERON
41,KEMPE
42,JOÃO PAULO
43,SANDRO
44,REZEMBRINK
45,SALAS
46,MOTA
47,VACA
48,OVIEDO
49,SILVA
50,BONATTO
51,CAZELLI
52,ESDRAS
53,STRAUS
54,LEANDRO
55,BALETA
56,VACARIA
57,GANCHO
58,ÁVALOS
59,JAIR
60,ZINHO
61,NUNES
62,CARLAS
63,PIAZZA
64,ISQUIERO
65,BALAKOV
66,NÉLIO
67,MOSSORÓ
68,ADILSON
69,PASSOALDO
70,BERTOTO
71,BALIEOS
72,JÚLIO BATISTA
73,PALINHA
74,SANGALETTI
75,ANA LÚCIA
76,NUNES
77,GOTARDO
78,RONALDO
79,TRAMONTINA
80,MARCINHO
81,DANIEL
82,ROMERITO
83,IZIDORO
84,OBLITAS
85,CRAVASSO
86,RUBIANO
87,ADÍLIO
88,THIAGO MOTA
89,IBRAIMOVICH
90,FLÁVIO CONCEIÇÃO
91,LANCE
92,ADAMAS
93,CARVOEIRO
94,ADIL
95,PAULO ROSSI
96,MAZINHO
97,GUEDES
98,RIVA
99,TENAZ
100,COCITO
101,PAULÃO
102,FLADI
103,MÁRIO KEMPES
104,MICHEL
105,CBL
106,GOMES
107,RIVAROLA
108,ELANO
109,MASQUERANO
110,LÚCIO
111,ABOCATTI
112,SÍLVIO
113,FACA
114,IOURGUTE
115,PROSDÓCIMO
116,FININHO
117,VALDÍVIA
118,BALBO
119,BABÁ
120,FELPA
121,ROMAN
122,GUARNIERE
123,COLUSSO
124,ROMÁRIO
125,FAVÃO
126,RIVALDO
127,MOLOSSO
128,BANDEIRA
129,LAURO
130,EDILSON
131,CARLINHOS
132,ALEX
133,TRIGUINHO
134,AGUIRRE
135,SANTOS
136,STILEK
137,JOÃO PAULO
138,DONA
139,ROJAS
140,LIZANDRO
141,SAUL
142,TORQUATTO
143,BATISTA
144,BERNARD
145,FISCHER
146,BERNARDES
147,LEIVINHA
148,PABLO
149,AMARAL
150,DOURADO
151,VANIO
152,VIJALBA
153,PEDRO
154,IAUCA
155,FEDÃO
156,SORIN
157,GIARDELO
158,ANTOGNIONE
159,ZAMBETA
160,CAUSIO
161,ELIVELTON
162,CORTEZ
163,DOMINGOS
164,ALESSANDRO
165,KLAUS
166,ZIDANE
167,CLAUDIO
168,FIGER
169,HERK
170,INIESTA
171,AMOROSO
172,WESKLEY
173,RENATO
174,SOARES
175,LAUDRUP
176,NOKIA
177,JUDEU
178,MARCELINO
179,SAVIOLA
180,NANDINHO
181,AMARAL
182,PEDRO
183,QC
184,MOZER
185,DAGOBERTO
186,JETSON
187,OLAVO
188,BRAUNER
189,LILIPUT
190,BAND AID
191,SAMUEL
192,BAMBINO
193,CARDOSSO
194,CALINHOS
195,RIO BRANCO
196,TRELEZ
197,CETOCONAZOL
198,GRAZZIANI
199,ZEQUINHA
200,CAZELI
201,VIEIRA
202,BONAMIGO
203,AZULÃO
204,GASTÃO
205,RIOS
206,CHICÃO
207,ZÉ MÁRIO
208,EGON
209,CLEBERSSON
210,WORLD
211,COLLOR
212,REINALDO
213,ELENCOS
214,TIZIU
215,SIMONSEM
216,LEIVAS
217,DOVAL
218,VICK
219,OVERMARS
220,RODRIGO
221,DA LUA
222,EDUARDO
223,ROSENEI
