id_partida,id_competicao,grupo,id_equipe_a,id_equipe_b,gols_a,gols_b,status,data_partida,id_fase
1,4,a,34,16,1,2,Finalizado,2026-06-22 12:46:40.869013+00,1
2,4,a,74,6,0,3,Finalizado,2026-06-22 12:46:40.869013+00,1
3,4,a,35,34,3,0,Finalizado,2026-06-22 12:46:40.869013+00,1
4,4,a,16,6,0,3,Finalizado,2026-06-22 12:46:40.869013+00,1
5,4,a,34,74,3,0,Finalizado,2026-06-22 12:46:40.869013+00,1
6,4,a,35,16,0,0,Finalizado,2026-06-22 12:46:40.869013+00,1
7,4,a,6,34,1,1,Finalizado,2026-06-22 12:46:40.869013+00,1
8,4,a,74,35,3,0,Finalizado,2026-06-22 12:46:40.869013+00,1
9,4,a,16,74,0,0,Finalizado,2026-06-22 12:46:40.869013+00,1
10,4,a,6,35,5,0,Finalizado,2026-06-22 12:46:40.869013+00,1
11,4,b,44,54,4,1,Finalizado,2026-06-22 12:46:40.869013+00,1
12,4,b,63,66,3,0,Finalizado,2026-06-22 12:46:40.869013+00,1
13,4,b,62,44,0,3,Finalizado,2026-06-22 12:46:40.869013+00,1
14,4,b,54,66,1,2,Finalizado,2026-06-22 12:46:40.869013+00,1
15,4,b,44,63,2,0,Finalizado,2026-06-22 12:46:40.869013+00,1
16,4,b,62,54,0,2,Finalizado,2026-06-22 12:46:40.869013+00,1
17,4,b,66,44,1,0,Finalizado,2026-06-22 12:46:40.869013+00,1
18,4,b,63,62,1,3,Finalizado,2026-06-22 12:46:40.869013+00,1
19,4,b,54,63,0,0,Finalizado,2026-06-22 12:46:40.869013+00,1
20,4,b,66,62,0,3,Finalizado,2026-06-22 12:46:40.869013+00,1
21,4,c,57,19,1,1,Finalizado,2026-06-22 12:46:40.869013+00,1
22,4,c,31,15,0,2,Finalizado,2026-06-22 12:46:40.869013+00,1
23,4,c,46,57,1,2,Finalizado,2026-06-22 12:46:40.869013+00,1
24,4,c,19,15,0,1,Finalizado,2026-06-22 12:46:40.869013+00,1
25,4,c,57,31,2,2,Finalizado,2026-06-22 12:46:40.869013+00,1
26,4,c,46,19,1,2,Finalizado,2026-06-22 12:46:40.869013+00,1
27,4,c,15,57,0,1,Finalizado,2026-06-22 12:46:40.869013+00,1
28,4,c,31,46,1,0,Finalizado,2026-06-22 12:46:40.869013+00,1
29,4,c,19,31,3,1,Finalizado,2026-06-22 12:46:40.869013+00,1
30,4,c,15,46,0,2,Finalizado,2026-06-22 12:46:40.869013+00,1
31,4,d,25,43,3,0,Finalizado,2026-06-22 12:46:40.869013+00,1
32,4,d,23,59,0,3,Finalizado,2026-06-22 12:46:40.869013+00,1
33,4,d,28,25,3,0,Finalizado,2026-06-22 12:46:40.869013+00,1
34,4,d,43,59,2,1,Finalizado,2026-06-22 12:46:40.869013+00,1
35,4,d,25,23,1,2,Finalizado,2026-06-22 12:46:40.869013+00,1
36,4,d,28,43,2,0,Finalizado,2026-06-22 12:46:40.869013+00,1
37,4,d,59,25,0,1,Finalizado,2026-06-22 12:46:40.869013+00,1
38,4,d,23,28,4,0,Finalizado,2026-06-22 12:46:40.869013+00,1
39,4,d,43,23,2,3,Finalizado,2026-06-22 12:46:40.869013+00,1
40,4,d,59,28,4,2,Finalizado,2026-06-22 12:46:40.869013+00,1
41,4,e,11,45,4,0,Finalizado,2026-06-22 12:46:40.869013+00,1
42,4,e,33,60,1,0,Finalizado,2026-06-22 12:46:40.869013+00,1
43,4,e,7,11,0,4,Finalizado,2026-06-22 12:46:40.869013+00,1
44,4,e,45,60,2,1,Finalizado,2026-06-22 12:46:40.869013+00,1
45,4,e,11,33,3,0,Finalizado,2026-06-22 12:46:40.869013+00,1
46,4,e,7,45,6,1,Finalizado,2026-06-22 12:46:40.869013+00,1
47,4,e,60,11,0,3,Finalizado,2026-06-22 12:46:40.869013+00,1
48,4,e,33,7,1,1,Finalizado,2026-06-22 12:46:40.869013+00,1
49,4,e,45,33,3,2,Finalizado,2026-06-22 12:46:40.869013+00,1
50,4,e,60,7,2,0,Finalizado,2026-06-22 12:46:40.869013+00,1
51,4,f,71,20,1,0,Finalizado,2026-06-24 13:28:36.73272+00,1
52,4,f,68,8,0,1,Finalizado,2026-06-24 13:28:36.73272+00,1
53,4,f,71,68,0,1,Finalizado,2026-06-24 13:28:36.73272+00,1
54,4,f,20,32,1,0,Finalizado,2026-06-24 13:28:36.73272+00,1
