id_vinculo,data_entrada,numero_jogador,numero_equipe
1,2024-06-22 17:52:36.749272+00,1,34
2,2024-06-22 17:57:32.44374+00,2,34
3,2024-06-22 17:57:49.46574+00,3,34
4,2024-06-22 17:58:05.036202+00,4,34
5,2024-06-22 17:58:27.788646+00,5,34
6,2024-06-22 18:01:05.404899+00,6,34
7,2024-06-22 18:01:18.63342+00,7,34
8,2024-06-22 18:28:49.807363+00,8,16
9,2024-06-22 18:29:09.227624+00,9,16
10,2024-06-22 18:29:30.265908+00,10,16
11,2024-06-22 18:29:56.285149+00,11,16
12,2024-06-22 18:30:12.149973+00,12,16
13,2024-06-22 18:30:42.094959+00,13,16
14,2024-06-22 18:31:00.305496+00,14,16
15,2024-06-24 16:40:41.746848+00,15,6
16,2024-06-24 16:40:41.746848+00,16,6
17,2024-06-24 16:40:41.746848+00,17,6
18,2024-06-24 16:40:41.746848+00,18,6
19,2024-06-24 16:40:41.746848+00,19,6
20,2024-06-24 16:40:41.746848+00,20,6
21,2024-06-24 16:40:41.746848+00,21,6
22,2024-06-24 17:18:53.135925+00,22,74
23,2024-06-24 17:18:53.135925+00,23,74
24,2024-06-24 17:18:53.135925+00,24,74
25,2024-06-24 17:18:53.135925+00,25,74
26,2024-06-24 17:18:53.135925+00,26,74
27,2024-06-24 17:18:53.135925+00,27,74
28,2024-06-24 17:18:53.135925+00,28,74
29,2024-06-24 17:18:53.135925+00,29,35
30,2024-06-24 17:18:53.135925+00,30,35
31,2024-06-24 17:18:53.135925+00,31,35
32,2024-06-24 17:18:53.135925+00,32,35
33,2024-06-24 17:18:53.135925+00,33,35
34,2024-06-24 17:18:53.135925+00,34,35
35,2024-06-24 17:18:53.135925+00,35,35
36,2024-06-28 20:54:05.885565+00,36,44
37,2024-06-28 20:54:05.885565+00,37,44
38,2024-06-28 20:54:05.885565+00,38,44
39,2024-06-28 20:54:05.885565+00,39,44
40,2024-06-28 20:54:05.885565+00,40,44
41,2024-06-28 20:54:05.885565+00,41,44
42,2024-06-28 20:54:05.885565+00,42,44
43,2024-06-28 20:54:05.885565+00,43,54
44,2024-06-28 20:54:05.885565+00,44,54
45,2024-06-28 20:54:05.885565+00,45,54
46,2024-06-28 20:54:05.885565+00,46,54
47,2024-06-28 20:54:05.885565+00,47,54
48,2024-06-28 20:54:05.885565+00,48,54
49,2024-06-28 20:54:05.885565+00,49,54
50,2024-06-28 20:54:05.885565+00,50,66
51,2024-06-28 20:54:05.885565+00,51,66
52,2024-06-28 20:54:05.885565+00,52,66
53,2024-06-28 20:54:05.885565+00,53,66
54,2024-06-28 20:54:05.885565+00,54,66
55,2024-06-28 20:54:05.885565+00,55,66
56,2024-06-28 20:54:05.885565+00,56,66
57,2024-06-28 20:54:05.885565+00,57,63
58,2024-06-28 20:54:05.885565+00,58,63
59,2024-06-28 20:54:05.885565+00,59,63
60,2024-06-28 20:54:05.885565+00,60,63
61,2024-06-28 20:54:05.885565+00,61,63
62,2024-06-28 20:54:05.885565+00,62,63
63,2024-06-28 20:54:05.885565+00,63,63
64,2024-06-28 20:54:05.885565+00,64,62
65,2024-06-28 20:54:05.885565+00,65,62
66,2024-06-28 20:54:05.885565+00,66,62
67,2024-06-28 20:54:05.885565+00,67,62
68,2024-06-28 20:54:05.885565+00,68,62
69,2024-06-28 20:54:05.885565+00,69,62
70,2024-06-28 20:54:05.885565+00,70,62
71,2024-07-15 20:48:15.890913+00,71,57
72,2024-07-15 20:48:15.890913+00,72,57
73,2024-07-15 20:48:15.890913+00,73,57
74,2024-07-15 20:48:15.890913+00,74,57
75,2024-07-15 20:48:15.890913+00,75,57
76,2024-07-15 20:48:15.890913+00,76,57
77,2024-07-15 20:48:15.890913+00,77,57
78,2024-07-15 20:48:15.890913+00,78,19
79,2024-07-15 20:48:15.890913+00,79,19
80,2024-07-15 20:48:15.890913+00,80,19
81,2024-07-15 20:48:15.890913+00,81,19
82,2024-07-15 20:48:15.890913+00,82,19
83,2024-07-15 20:48:15.890913+00,83,19
84,2024-07-15 20:48:15.890913+00,84,19
85,2024-07-15 20:48:15.890913+00,85,15
86,2024-07-15 20:48:15.890913+00,86,15
87,2024-07-15 20:48:15.890913+00,87,15
88,2024-07-15 20:48:15.890913+00,88,15
89,2024-07-15 20:48:15.890913+00,89,15
90,2024-07-15 20:48:15.890913+00,90,15
91,2024-07-15 20:48:15.890913+00,91,15
92,2024-07-15 20:48:15.890913+00,92,31
93,2024-07-15 20:48:15.890913+00,93,31
94,2024-07-15 20:48:15.890913+00,94,31
95,2024-07-15 20:48:15.890913+00,95,31
96,2024-07-15 20:48:15.890913+00,96,31
97,2024-07-15 20:48:15.890913+00,97,31
98,2024-07-15 20:48:15.890913+00,98,31
99,2024-07-15 20:48:15.890913+00,99,46
100,2024-07-15 20:48:15.890913+00,100,46
101,2024-07-15 20:48:15.890913+00,101,46
102,2024-07-15 20:48:15.890913+00,102,46
103,2024-07-15 20:48:15.890913+00,103,46
104,2024-07-15 20:48:15.890913+00,104,46
105,2024-07-15 20:48:15.890913+00,105,46
106,2024-07-15 20:48:15.890913+00,106,25
107,2024-07-15 20:48:15.890913+00,107,25
108,2024-07-15 20:48:15.890913+00,108,25
109,2024-07-15 20:48:15.890913+00,109,25
110,2024-07-15 20:48:15.890913+00,110,25
111,2024-07-15 20:48:15.890913+00,111,25
112,2024-07-15 20:48:15.890913+00,112,25
113,2024-07-15 20:48:15.890913+00,113,43
114,2024-07-15 20:48:15.890913+00,114,43
115,2024-07-15 20:48:15.890913+00,115,43
116,2024-07-15 20:48:15.890913+00,116,43
117,2024-07-15 20:48:15.890913+00,117,43
118,2024-07-15 20:48:15.890913+00,118,43
119,2024-07-15 20:48:15.890913+00,119,43
120,2024-07-15 20:48:15.890913+00,120,23
121,2024-07-15 20:48:15.890913+00,121,23
122,2024-07-15 20:48:15.890913+00,122,23
123,2024-07-15 20:48:15.890913+00,123,23
124,2024-07-15 20:48:15.890913+00,124,23
125,2024-07-15 20:48:15.890913+00,125,23
126,2024-07-15 20:48:15.890913+00,126,23
127,2024-07-15 20:48:15.890913+00,127,59
128,2024-07-15 20:48:15.890913+00,128,59
129,2024-07-15 20:48:15.890913+00,129,59
130,2024-07-15 20:48:15.890913+00,130,59
131,2024-07-15 20:48:15.890913+00,131,59
132,2024-07-15 20:48:15.890913+00,132,59
133,2024-07-15 20:48:15.890913+00,133,59
134,2024-07-15 20:48:15.890913+00,134,28
135,2024-07-15 20:48:15.890913+00,135,28
136,2024-07-15 20:48:15.890913+00,136,28
137,2024-07-15 20:48:15.890913+00,137,28
138,2024-07-15 20:48:15.890913+00,138,28
139,2024-07-15 20:48:15.890913+00,139,28
140,2024-07-15 20:48:15.890913+00,140,28
141,2024-08-28 17:27:30.163825+00,141,11
142,2024-08-28 17:27:30.163825+00,142,11
143,2024-08-28 17:27:30.163825+00,143,11
144,2024-08-28 17:27:30.163825+00,144,11
145,2024-08-28 17:27:30.163825+00,145,11
146,2024-08-28 17:27:30.163825+00,146,11
147,2024-08-28 17:27:30.163825+00,147,11
148,2024-08-28 17:27:30.163825+00,148,45
149,2024-08-28 17:27:30.163825+00,149,45
150,2024-08-28 17:27:30.163825+00,150,45
151,2024-08-28 17:27:30.163825+00,151,45
152,2024-08-28 17:27:30.163825+00,152,45
153,2024-08-28 17:27:30.163825+00,153,45
154,2024-08-28 17:27:30.163825+00,154,45
155,2024-08-28 19:17:57.561515+00,155,60
156,2024-08-28 19:17:57.561515+00,156,60
157,2024-08-28 19:17:57.561515+00,157,60
158,2024-08-28 19:17:57.561515+00,158,60
159,2024-08-28 19:17:57.561515+00,159,60
